,filename,cam_id,address
0,B34.jpg,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
1,B101.jpg,PVN_hd_UZAO_8772_3,"город Москва, улица Кадырова, дом 4"
2,B104.jpg,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
3,B10.jpg,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
4,B100.jpg,PVN_hd_UZAO_8772_3,"город Москва, улица Кадырова, дом 4"
5,B106.jpg,,
6,B107.jpg,,
7,B103.jpg,PVN_hd_UZAO_8740_4,"город Москва, улица Академика Семёнова, дом 3"
8,B1.jpg,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
9,B108.jpg,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
10,B111.jpg,,
11,B11.jpg,,
12,B114.jpg,PVN_hd_TSAO_5300_1,"город Москва, Верхняя Сыромятническая улица, дом 2"
13,B117.jpg,,
14,B116.jpg,,
15,B112.jpg,,
16,B109.jpg,PVN_hd_TSAO_5300_3,"город Москва, Верхняя Сыромятническая улица, дом 2"
17,B115.jpg,PVN_hd_SVAO_3087_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 25"
18,B113.jpg,PVN_hd_TSAO_5300_1,"город Москва, Верхняя Сыромятническая улица, дом 2"
19,B118.jpg,,
20,B110.jpg,PVN_hd_SVAO_3087_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 25"
21,B119.jpg,,
22,B120.jpg,,
23,B16.jpg,,
24,B14.jpg,,
25,B19.jpg,,
26,B13.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
27,B12.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
28,B18.jpg,,
29,B2.jpg,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
30,B17.jpg,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
31,B20.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
32,B15.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
33,B24.jpg,,
34,B23.jpg,,
35,B25.jpg,,
36,B26.jpg,,
37,B3.jpg,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
38,B29.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
39,B22.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
40,B21.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
41,B27.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
42,B31.jpg,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
