,filename,is_animal_there,is_it_a_dog,is_the_owner_there,color,tail,cam_id,address
0,B1.jpg,0,0,0,0,0,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
1,B10.jpg,1,1,0,3,2,PVN_hd_UZAO_8772_3,"город Москва, улица Кадырова, дом 4"
2,B100.jpg,0,0,0,0,0,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
3,B101.jpg,1,0,0,0,0,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
4,B102.jpg,1,1,1,3,2,PVN_hd_UZAO_8772_3,"город Москва, улица Кадырова, дом 4"
5,B103.jpg,1,1,0,3,2,PVN_hd_TSAO_5300_3,"город Москва, Верхняя Сыромятническая улица, дом 2"
6,B104.jpg,1,1,1,3,2,UVN_SAO_027_7,"САО Ленинградский проспект, дом 36"
7,B105.jpg,1,0,0,0,0,PVN_hd_UZAO_8740_4,"город Москва, улица Академика Семёнова, дом 3"
8,B106.jpg,1,0,0,0,0,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
9,B107.jpg,1,1,0,3,1,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
10,B108.jpg,1,0,0,0,0,PVN_hd_TSAO_3847_1,"город Москва, Малая Пионерская улица, дом 23-31, строение 1"
11,B109.jpg,1,0,0,0,0,PVN_hd_UAO_7270_3,"город Москва, 1-й Нижний Михайловский проезд, дом 16"
12,B11.jpg,1,1,0,3,2,PVN_hd_TSAO_5300_1,"город Москва, Верхняя Сыромятническая улица, дом 2"
13,B110.jpg,1,1,0,3,2,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
14,B111.jpg,1,1,0,3,2,PVN_hd_SVAO_3040_1,"город Москва, Новоалексеевская улица, дом 5А"
15,B112.jpg,1,1,0,3,2,PVN_hd_TSAO_5300_1,"город Москва, Верхняя Сыромятническая улица, дом 2"
16,B113.jpg,1,0,0,0,0,PVN_hd_TSAO_5300_3,"город Москва, Верхняя Сыромятническая улица, дом 2"
17,B114.jpg,1,0,0,0,0,PVN_hd_SVAO_3087_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 25"
18,B115.jpg,1,1,0,3,2,PVN_hd_TSAO_5300_1,"город Москва, Верхняя Сыромятническая улица, дом 2"
19,B116.jpg,1,1,0,3,2,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
20,B117.jpg,1,1,0,3,2,PVN_hd_SVAO_3087_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 25"
21,B118.jpg,1,1,0,1,2,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
22,B119.jpg,1,1,0,3,2,PVN_hd_SVAO_3087_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Бориса Галушкина, дом 25"
23,B12.jpg,0,0,0,0,0,PVN_hd_SAO_6159_54,"город Москва, Левобережная улица, дом 4, корпус 12"
24,B120.jpg,1,1,0,2,2,PVN_hd_SAO_6159_54,"город Москва, Левобережная улица, дом 4, корпус 12"
25,B13.jpg,1,0,0,0,0,PVN_hd_SAO_3465_1,"город Москва, Клязьминская улица, дом 5, корпус 1"
26,B14.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
27,B15.jpg,1,0,0,0,0,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
28,B16.jpg,1,1,0,1,2,PVN_hd_SAO_6159_54,"город Москва, Левобережная улица, дом 4, корпус 12"
29,B17.jpg,1,1,0,3,2,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
30,B18.jpg,1,1,0,3,2,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
31,B19.jpg,1,1,0,1,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
32,B2.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
33,B20.jpg,1,1,1,3,2,PVN_hd_TSAO_3847_1,"город Москва, Малая Пионерская улица, дом 23-31, строение 1"
34,B21.jpg,1,1,1,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
35,B22.jpg,1,1,1,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
36,B23.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
37,B24.jpg,1,1,0,3,2,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
38,B25.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
39,B26.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
40,B27.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
41,B28.jpg,1,1,1,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
42,B29.jpg,1,1,1,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
43,B3.jpg,1,0,0,0,0,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
44,B30.jpg,1,1,0,3,2,PVN_hd_SVAO_3426_1,"город Москва, Мелиховская улица, дом 2"
45,B31.jpg,1,1,1,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
46,B32.jpg,1,1,0,3,2,PVN_hd_SVAO_3040_1,"город Москва, Новоалексеевская улица, дом 5А"
47,B33.jpg,1,1,0,3,2,PVN_hd_SVAO_1652_1,"город Москва, улица Академика Королёва, дом 28, корпус 2"
48,B34.jpg,0,0,0,0,0,PVN_hd_SAO_6159_54,"город Москва, Левобережная улица, дом 4, корпус 12"
49,B35.jpg,1,1,1,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
50,B36.jpg,1,1,0,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
51,B37.jpg,1,1,0,3,2,PVN_hd_SVAO_3040_1,"город Москва, Новоалексеевская улица, дом 5А"
52,B38.jpg,1,1,1,3,2,PVN_hd_SVAO_3055_1,"город Москва, проспект Мира, дом 182, корпус 3"
53,B39.jpg,1,1,0,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
54,B4.jpg,1,1,0,2,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
55,B40.jpg,1,1,0,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
56,B41.jpg,1,1,0,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
57,B42.jpg,1,0,0,0,0,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
58,B43.jpg,1,1,0,3,2,PVN_hd_SVAO_3040_1,"город Москва, Новоалексеевская улица, дом 5А"
59,B44.jpg,1,1,0,3,2,PVN_hd_SVAO_3040_1,"город Москва, Новоалексеевская улица, дом 5А"
60,B45.jpg,1,1,0,3,2,PVN_hd_SVAO_3498_4,"город Москва, улица Корнейчука, дом 41А"
